total_reward,agent1_reward,agent2_reward,reward_difference,agent1_type,agent2_type,personality_pairing,alpha,beta
131.36392999999998,65.68087,65.68306,0.002189999999998804,cautious,cooperative,cautious-cooperative,2.0,15.0
145.918726,72.930916,72.98781,0.05689399999999978,cautious,cooperative,cautious-cooperative,4.0,5.0
135.52442,67.76332,67.7611,0.0022199999999941156,cautious,cooperative,cautious-cooperative,4.0,10.0
128.892844,64.643684,64.24916,0.3945239999999899,cautious,cooperative,cautious-cooperative,4.0,15.0
153.336545,76.670425,76.66612,0.004304999999988013,cautious,cooperative,cautious-cooperative,6.0,5.0
130.988045,65.51339,65.474655,0.03873500000000263,cautious,cooperative,cautious-cooperative,6.0,10.0
126.245526,63.124928,63.120598,0.004329999999995948,cautious,cooperative,cautious-cooperative,6.0,15.0
125.931824,63.864857,62.066967,1.7978900000000024,cautious,competitive,cautious-competitive,2.0,5.0
125.319794,62.591114,62.72868,0.13756599999999963,cautious,competitive,cautious-competitive,2.0,10.0
78.69292200000001,49.612625,29.080297,20.532328,cautious,competitive,cautious-competitive,2.0,15.0
139.21627,69.64424,69.57203,0.07220999999999833,cautious,competitive,cautious-competitive,4.0,5.0
125.804506,62.865246,62.93926,0.07401399999999825,cautious,competitive,cautious-competitive,4.0,10.0
127.819877,63.671272,64.148605,0.47733300000000156,cautious,competitive,cautious-competitive,4.0,15.0
56.251428000000004,36.361088,19.89034,16.470748000000004,cautious,competitive,cautious-competitive,6.0,5.0
56.834995000000006,35.92193,20.913065,15.008865000000004,cautious,competitive,cautious-competitive,6.0,10.0
125.291474,62.60365,62.687824,0.0841739999999973,cautious,competitive,cautious-competitive,6.0,15.0
145.701004,72.847084,72.85392,0.006836000000006948,cautious,adaptive,cautious-adaptive,2.0,5.0
135.354336,67.640976,67.71336,0.07238399999999956,cautious,adaptive,cautious-adaptive,2.0,10.0
138.710744,69.337654,69.37309,0.03543600000000424,cautious,adaptive,cautious-adaptive,2.0,15.0
151.292476,75.66093,75.631546,0.029383999999993193,cautious,adaptive,cautious-adaptive,4.0,5.0
133.02975,66.49333,66.53642,0.04309000000000651,cautious,adaptive,cautious-adaptive,4.0,10.0
132.21310499999998,66.122025,66.09108,0.030944999999988454,cautious,adaptive,cautious-adaptive,4.0,15.0
161.55055,80.76884,80.78171,0.012870000000006598,cautious,adaptive,cautious-adaptive,6.0,5.0
137.08808,68.60628,68.4818,0.12447999999999126,cautious,adaptive,cautious-adaptive,6.0,10.0
126.03438600000001,62.960644,63.073742,0.11309800000000081,cautious,adaptive,cautious-adaptive,6.0,15.0
137.91137600000002,68.64807,69.263306,0.6152359999999959,cautious,cautious,cautious-cautious,2.0,5.0
144.47113000000002,72.26851,72.20262,0.06589000000001022,cautious,cautious,cautious-cautious,2.0,10.0
125.07263,62.53234,62.54029,0.007950000000001012,cautious,cautious,cautious-cautious,2.0,15.0
142.78501,71.3872,71.39781,0.010609999999999786,cautious,cautious,cautious-cautious,4.0,5.0
139.393325,69.70021,69.693115,0.007094999999992524,cautious,cautious,cautious-cautious,4.0,10.0
132.25281,66.10411,66.1487,0.04458999999999946,cautious,cautious,cautious-cautious,4.0,15.0
154.08697,77.03525,77.05172,0.01646999999999821,cautious,cautious,cautious-cautious,6.0,5.0
133.90637600000002,66.9594,66.946976,0.012423999999995772,cautious,cautious,cautious-cautious,6.0,10.0
128.062346,64.013016,64.04933,0.0363140000000044,cautious,cautious,cautious-cautious,6.0,15.0
