Video,Second,L_C,L_A,R_C,R_A
AAKTSE1,1.4356347938573076e-14,267.61825313269594,972.1037057224542,-5.466126607,-1310.686051
AAKTSE1,1.5125202144656157e-14,298.5195079002415,957.3266529556927,22.148545359317755,-1311.260954
AAKTSE1,1.5894056350739238e-14,265.9329848900078,938.8518224111522,6.549883991855207,-1301.650302
AAKTSE1,1.6662910556822318e-14,128.47201743533068,723.1481029777233,-50.34988849,-1298.531873
AAKTSE1,1.7431764762905402e-14,11.385494425097152,770.858828,-47.90966097,-1263.938998
AAKTSE1,3.989764253786501e-15,-22.53991747,792.0706641108654,-99.48943344,-1266.848346
AAKTSE1,4.758618459869582e-15,-67.3275516,915.0158335663258,-257.3369837,-1262.236583
AAKTSE1,5.5274726659526625e-15,-126.7646302,714.0743363551193,-187.754534,-1272.117042
AAKTSE1,6.296326872035743e-15,-14.38726428,946.7328391439127,-226.909862,-1261.69639
AAKTSE1,7.065181078118824e-15,-101.4526762,987.7913419327061,-202.9785234,-1258.305738
AAKTSE1,7.834035284201905e-15,-143.7925325,915.4576224992776,-147.3694069,-1257.660642
AAKTSE1,8.602889490284985e-15,-81.30127776,953.0072363991818,-111.8780683,-1231.914434
AAKTSE1,9.371743696368066e-15,-49.03668966,1005.6835169657533,-232.6278408,-1043.478226
AAKTSE1,1.0140597902451148e-14,17.494565110776612,714.7375753101019,-226.2476133,-706.7486854
AAKTSE1,1.0909452108534227e-14,-9.885291233,740.6983003211171,-21.90849686,-815.5391445
AAKTSE1,1.1678306314617308e-14,-7.02848091,698.9390253321333,-144.1304916,-804.1362702
AAKTSE1,1.2447160520700387e-14,-4.998337253,775.1808614542599,-94.0258196,-624.0422848
AAKTSE1,1.3216014726783471e-14,-91.16041582,628.2504753541643,-73.04670319,-612.5649661
AAKTSE1,-2.26E-16,-18.70027216,600.1100892540687,-20.359809,-655.3654251
AAKTSE1,5.428684237476521e-16,36.42987149,632.5685920428622,127.30597407833373,-656.3914397
AAKTSE1,1.3117226298307328e-15,-0.294429294,532.0815392761001,140.0528682664265,-665.114121
AAKTSE1,2.080576835913814e-15,8.756825473356718,576.2189309537825,132.4742068989643,-659.2412467
AAKTSE1,2.8494310419968937e-15,118.17696912978961,731.3929892981315,93.85554553150209,-672.1172614
